"SWSN_ID","SWSN_Site","EASTING","NORTHING"
1995,"Polles Mesa Cliff Dwelling",449262.041300505,3792047.74258496
1996,"12-05-0188 (TNF)",477831.196883291,3747483.12725404
1997,"12-04-0581 (TNF)",486317.459341407,3774667.86193819
1998,"12-05-0250 (TNF)",514804.750605345,3764539.22758207
1999,"12-05-0216 (TNF)",513349.85920769,3766750.83380759
2000,"12-04-0829 (TNF)",505292.102274269,3787811.57364354
2001,"Cataract Trap",484046.28521663,3753572.8593325
2002,"Lion Spring",487946.973546118,3795050.32664114
2003,"12-04-0059 (TNF)",482049.340287343,3787466.53302164
2004,"12-01-0164 (TNF)",459663.628410965,3749128.64044385
2005,"12-05-0103 (TNF)",523398.178520471,3755355.74532755
2006,"12-05-0173 (TNF)",476428.376794204,3758249.35398588
2007,"12-05-0130 (TNF)",522611.231598973,3766833.99362452
2008,"12-02-0057 (TNF)",527047.953139946,3691329.31146304
2009,"12-01-1245 (TNF)",443355.325324357,3781255.56998977
2010,"Hairpin Ruin",522094.41203694,3698718.38672595
2011,"12-05-0095 (TNF)",512457.282244831,3758301.6556181
2013,"12-01-0012 (TNF)",427329.084799185,3749466.78171942
2014,"12-01-0013 (TNF)",421909.194125801,3761448.32460502
2015,"Circlestone",486959.807426676,3714918.34287615
2016,"12-02-1069 (TNF)",503667.356699809,3714772.86510789
2017,"12-01-1183 (TNF)",416815.555755168,3764509.10628678
2018,"12-01-0703 (TNF)",422299.812719569,3559626.25771073
2019,"12-02-0106 (TNF)",486508.184901327,3693473.62598363
2020,"12-01-0589 (TNF)",449602.071579978,3791274.19422576
2021,"12-01-0594 (TNF)",430207.478827208,3792458.38384853
2022,"12-05-0781 (TNF)",520264.91895844,3769312.634423
2023,"12-06-0244 (TNF)",516300.810403332,3732961.55826436
2024,"12-06-0250 (TNF)",519737.669631422,3735316.09397286
2025,"12-06-0266 (TNF)",512670.291951254,3731622.27869691
2026,"12-06-0268 (TNF)",527324.321244389,3719884.53993955
2027,"12-06-0269 (TNF)",514725.38534607,3727235.27916977
2028,"12-06-0272 (TNF)",529149.36779286,3723370.97641097
2029,"12-06-0279 (TNF)",517064.817068458,3742853.75086428
2030,"12-06-0289 (TNF)",527231.669708446,3733506.90256269
2031,"12-06-0291 (TNF)",512763.626121089,3721564.32343209
2032,"12-06-0640 (TNF)",458708.08057186,3777959.4710906
2033,"12-06-0683 (TNF)",497539.301011682,3744792.50610591
2034,"12-06-0706 (TNF)",477312.841246247,3777803.47568898
2035,"12-06-0710 (TNF)",479130.537664294,3777415.48639525
2036,"12-06-2240 (TNF)",456803.178113118,3767682.4912831
2037,"Dennis Ruin",427698.705870777,3794859.02202439
2038,"AZ U:1:31",428201.746475294,3750450.74977474
2039,"AZ U:2:129",439463.643776298,3756599.25908105
2040,"AZ O:9:1",440222.079396889,3809765.46597572
2041,"12-01-0990 (TNF)",439705.894878775,3770130.83179609
2042,"AZ V:5:194",522745.984136865,3707589.95089592
2043,"12-02-0152 (TNF)",516511.477865458,3696879.76699391
2044,"12-02-0153 (TNF)",510620.231432796,3695783.66319859
2045,"AZ V:6:4",519196.320038319,3720690.53590523
